celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,is_from_usa,is_final_awarded,is_final_reached,season_total_weeks,weeks_participated,low_score_advanced_week,low_score_advanced_weeks,low_score_advanced_count,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum,week1_judge_score_rank,week2_judge_score_rank,week3_judge_score_rank,week4_judge_score_rank,week5_judge_score_rank,week6_judge_score_rank,week7_judge_score_rank,week8_judge_score_rank,week9_judge_score_rank,week10_judge_score_rank,week11_judge_score_rank
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,0.0,8.0,9.0,9.0,0.0,9.0,8.0,7.0,0.0,7.0,8.0,6.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,6,6,0,,0,20.0,26.0,24.0,21.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,1,1,2,3,1,2,0,0,0,0,0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,0.0,5.0,6.0,6.0,0.0,6.0,7.0,8.0,0.0,9.0,9.0,8.0,0.0,8.5,7.5,7.5,0.0,8.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,6,6,2,"1,2",2,13.0,17.0,21.0,26.0,23.5,27.5,0.0,0.0,0.0,0.0,0.0,3,5,4,1,2,1,0,0,0,0,0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,0.0,5.0,4.0,5.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,6,3,2,2,1,18.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,5,0,0,0,0,0,0,0,0
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,0.0,8.0,8.0,8.0,0.0,8.0,9.0,9.0,0.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,4,0,,0,20.0,24.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,2,0,0,0,0,0,0,0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,0.0,8.0,7.0,6.0,0.0,7.0,7.0,8.0,0.0,7.0,6.0,7.0,0.0,8.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,6,5,4,4,1,20.0,21.0,22.0,20.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,1,3,3,4,3,0,0,0,0,0,0
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,0.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,6,2,0,,0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0,0,0,0,0,0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,0.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,8,2,0,,0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0,0,0,0,0,0,0,0,0
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,0.0,7.0,8.0,7.0,0.0,9.0,8.0,9.0,0.0,9.0,8.0,8.0,0.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,8,5,0,,0,20.0,22.0,26.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,2,3,6,0,0,0,0,0,0
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,0.0,8.0,7.0,7.0,0.0,7.0,7.0,8.0,0.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,8,6,4,"1,4",2,18.0,22.0,22.0,21.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,7,5,4,5,4,3,0,0,0,0,0
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,0.0,6.0,7.0,7.0,0.0,8.0,8.0,9.0,0.0,9.0,9.0,8.0,0.0,7.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,8.5,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,8,7,0,,0,19.0,20.0,25.0,26.0,25.0,27.0,26.5,0.0,0.0,0.0,0.0,6,6,3,2,3,2,2,0,0,0,0
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,0.0,9.0,10.0,10.0,0.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,9.0,9.0,9.5,0.0,9.3333,9.6666,9.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,8,8,0,,0,22.0,29.0,27.0,26.0,30.0,30.0,27.5,28.6665,0.0,0.0,0.0,3,1,1,2,1,1,1,2,0,0,0
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,0.0,7.0,8.0,8.0,0.0,7.0,6.0,6.0,0.0,8.0,8.0,8.0,0.0,7.0,8.0,8.0,0.0,8.0,7.0,8.0,0.0,7.0,7.0,6.5,0.0,9.0,9.0,8.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,8,8,7,"3,5,7",3,21.0,23.0,19.0,24.0,23.0,23.0,20.5,26.666600000000003,0.0,0.0,0.0,4,4,5,4,5,3,3,3,0,0,0
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8,3,0,,0,23.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,4,0,0,0,0,0,0,0,0
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,0.0,6.0,5.0,5.0,0.0,6.0,4.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,8,4,3,"1,2,3",3,12.0,16.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,6,6,0,0,0,0,0,0,0
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,0.0,9.0,9.0,9.0,0.0,10.0,10.0,10.0,0.0,9.5,9.0,9.0,0.0,9.6666,9.6666,9.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,8,8,0,,0,24.0,27.0,27.0,28.0,27.0,30.0,27.5,28.9998,0.0,0.0,0.0,1,2,1,1,2,1,1,1,0,0,0
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,8,1,0,,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0,0
Kate Flannery,Pasha Pashkov,Actor/Actress,Pennsylvania,United States,55,28,Eliminated Week 8,7,5.0,5.0,5.0,0.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,7.0,7.0,6.0,6.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,8.0,8.0,8.0,0.0,8.6666,8.6666,8.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,8,7,"4,7",2,15.0,21.0,24.0,26.0,24.0,27.0,24.0,25.9998,0.0,0.0,0.0,7,2,1,4,4,1,5,5,0,0,0
James Van Der Beek,Emma Slater,Actor/Actress,Connecticut,United States,42,28,Eliminated Week 10,5,7.0,7.0,7.0,0.0,7.0,6.0,7.0,0.0,8.0,7.0,8.0,0.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,10.6666,10.6666,10.6666,0.0,9.0,8.5,9.5,9.0,8.5,8.5,8.5,0.0,0.0,0.0,0.0,0.0,1,0,0,11,10,0,,0,21.0,20.0,23.0,28.0,26.0,27.0,27.0,31.9998,36.0,25.5,0.0,1,3,2,3,2,1,1,1,3,4,0
Kel Mitchell,Witney Carson,Actor/Actress,Illinois,United States,41,28,2nd Place,2,6.0,5.0,5.0,0.0,7.0,6.0,7.0,0.0,7.0,6.0,7.0,0.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,0.0,9.0,8.0,9.0,0.0,8.5,8.5,8.5,0.0,9.6666,9.6666,10.6666,0.0,9.0,9.0,9.5,9.5,9.5,9.5,9.5,0.0,10.0,9.5,10.0,0.0,1,1,1,11,11,0,,0,16.0,20.0,20.0,32.0,26.0,26.0,25.5,29.9998,37.0,28.5,29.5,6,3,4,1,2,2,3,4,2,2,2
Ray Lewis,Cheryl Burke,Athlete,Florida,United States,44,28,Withdrew,11,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,2,0,,0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,0,0,0,0,0,0,0,0,0
Lamar Odom,Peta Murgatroyd,Athlete,New York,United States,39,28,Eliminated Week 4,10,5.0,3.0,3.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,5.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,4,3,"1,2,3",3,11.0,12.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,7,6,0,0,0,0,0,0,0
Sailor Brinkley-Cook,Valentin Chmerkovskiy,Model,New York,United States,21,28,Eliminated Week 6,9,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,7.0,8.0,8.0,0.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,6,0,,0,18.0,18.0,23.0,31.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,4,5,2,2,4,1,0,0,0,0,0
Sean Spicer,Lindsay Arnold,Politician,New York,United States,48,28,Eliminated Week 9,6,4.0,4.0,4.0,0.0,6.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,6.0,0.0,6.5,6.0,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,9,8,"1,3,4,5,6,7,8",7,12.0,16.0,15.0,21.0,19.0,21.0,21.0,20.0,25.0,0.0,0.0,8,6,6,5,7,5,6,7,6,0,0
Mary Wilson,Brandon Armstrong,Singer/Rapper,Nevada,United States,75,28,Eliminated Week 2,12,6.0,5.0,6.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,2,0,,0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,0,0,0,0
Lauren Alaina,Gleb Savchenko,Singer/Rapper,Georgia,United States,24,28,4th Place,4,7.0,6.0,6.0,0.0,6.0,6.0,7.0,0.0,6.0,7.0,7.0,0.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,0.0,9.0,8.0,9.0,0.0,9.0,9.0,9.0,0.0,8.0,8.0,8.0,0.0,9.0,9.0,8.5,8.5,9.0,9.0,9.0,0.0,9.5,9.5,9.5,0.0,1,0,1,11,11,9,"8,9",2,19.0,19.0,20.0,32.0,23.0,26.0,27.0,24.0,35.0,27.0,28.5,3,4,4,1,5,2,1,6,5,3,4
Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,28,3rd Place,3,5.0,5.0,6.0,0.0,7.0,6.0,7.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,0.0,8.0,9.0,8.0,0.0,9.0,9.0,9.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,0.0,10.0,10.0,10.0,0.0,1,1,1,11,11,0,,0,16.0,20.0,24.0,32.0,27.0,25.0,27.0,30.0,40.0,29.5,30.0,6,3,1,1,1,3,1,3,1,1,1
Karamo Brown,Jenna Johnson,TV Personality,Texas,United States,38,28,Eliminated Week 7,8,6.0,5.0,6.0,0.0,7.0,5.0,7.0,0.0,5.0,5.0,6.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,9.0,8.0,8.0,0.0,8.5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,7,5,"3,5",2,17.0,19.0,16.0,28.0,21.0,25.0,24.5,0.0,0.0,0.0,0.0,5,4,5,3,6,3,4,0,0,0,0
Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,28,1st Place,1,7.0,7.0,6.0,0.0,8.0,8.0,8.0,0.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,0.0,8.0,8.0,8.0,0.0,8.5,9.0,8.5,0.0,10.6666,9.6666,10.6666,0.0,9.0,8.5,9.0,9.0,9.0,9.0,9.0,0.0,10.0,9.5,9.5,0.0,1,1,1,11,11,6,6,1,20.0,24.0,21.0,32.0,25.0,24.0,26.0,30.9998,35.5,27.0,29.0,2,1,3,1,3,4,2,2,4,3,3
Anne Heche,Keo Motsepe,Actor/Actress,Ohio,United States,51,29,Eliminated Week 4,13,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,5.0,5.0,5.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,4,3,3,1,18.0,18.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,8,5,0,0,0,0,0,0,0
Jesse Metcalfe,Sharna Burgess,Actor/Actress,California,United States,41,29,Eliminated Week 5,12,6.0,6.0,6.0,0.0,7.0,7.0,6.0,0.0,7.0,6.0,7.0,0.0,7.0,7.0,7.0,0.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,5,0,,0,18.0,20.0,20.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,5,5,6,0,0,0,0,0,0
Chrishell Stause,Gleb Savchenko,Actor/Actress,Kentucky,United States,39,29,Eliminated Week 8,8,4.0,5.0,4.0,0.0,6.0,6.0,6.0,0.0,7.0,7.0,8.0,0.0,7.0,8.0,7.0,0.0,6.0,6.0,7.0,0.0,8.0,8.0,8.0,0.0,9.0,9.0,8.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,8,5,"1,5",2,13.0,18.0,22.0,22.0,19.0,24.0,26.0,27.0,0.0,0.0,0.0,7,5,3,4,6,4,3,4,0,0,0
Skai Jackson,Alan Bersten,Actor/Actress,New York,United States,18,29,Eliminated Week 10,5,7.0,7.0,7.0,0.0,5.0,5.0,5.0,0.0,6.0,6.0,6.0,0.0,10.0,9.0,9.0,0.0,8.0,8.0,8.0,0.0,6.0,6.0,6.0,0.0,9.0,9.0,9.0,0.0,8.6666,9.6666,8.6666,0.0,9.6666,9.6666,9.6666,0.0,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,1,0,0,11,10,8,"2,3,6,8",4,21.0,15.0,18.0,28.0,24.0,18.0,27.0,26.9998,28.9998,28.5,0.0,1,7,7,1,4,7,2,5,2,3,0
Justina Machado,Sasha Farber,Actor/Actress,Illinois,United States,48,29,4th Place,4,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,7.0,6.0,6.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,8.0,0.0,9.6666,9.6666,9.6666,0.0,8.6666,8.6666,8.6666,0.0,9.5,10.0,9.5,0.0,10.0,10.0,10.0,0.0,1,0,1,11,11,0,,0,21.0,21.0,19.0,24.0,24.0,27.0,26.0,28.9998,25.9998,29.0,30.0,1,2,6,3,4,1,3,2,3,2,1
Charles Oakley,Emma Slater,Athlete,Ohio,United States,56,29,Eliminated Week 2,15,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,2,1,1,1,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,0,0,0,0,0,0,0,0,0
Veron Davis,Peta Murgatroyd,Athlete,Washington D.C.,United States,36,29,Eliminated Week 6,11,5.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,8.0,7.0,7.0,0.0,8.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,6,5,5,1,17.0,18.0,22.0,22.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,5,5,3,4,5,6,0,0,0,0,0
