contestant_id,season_idx,weeks_participated,placement,celebrity_name,week_str,judge_score,week_idx,obs_id,estimated_strength,week_score_sum,mapped_season,season_position,votes,week_total_votes,vote_percentage
0,0,6,2,56,week1_percentage,0.183486239,0,0,43.83980637,20.0,1,0,1.1171909404367286,16.683036625858954,0.06696568289642583
1,0,6,1,66,week1_percentage,0.119266055,0,1,42.6654311,13.0,1,1,9.051498292928787,16.683036625858954,0.5425569994193282
2,0,3,5,32,week1_percentage,0.165137615,0,2,36.62733601,18.0,1,2,1.8744546750488122,16.683036625858954,0.11235692380746679
3,0,4,4,89,week1_percentage,0.183486239,0,3,30.08999668,20.0,1,3,0.7667979051949275,16.683036625858954,0.045962729830993684
4,0,5,3,55,week1_percentage,0.183486239,0,4,79.44288058,20.0,1,4,2.0244812606404974,16.683036625858954,0.12134968627369201
5,0,2,6,108,week1_percentage,0.165137615,0,5,36.12239368,18.0,1,5,1.8486135516092008,16.683036625858954,0.11080797777209352
0,0,6,2,56,week2_percentage,0.214876033,1,6,51.58299383,26.0,1,0,0.19328590430379125,12.451741405262142,0.01552280102942935
1,0,6,1,66,week2_percentage,0.140495868,1,7,44.78128548,17.0,1,1,4.10974326789198,12.451741405262142,0.330053695634507
2,0,3,5,32,week2_percentage,0.115702479,1,8,26.50880433,14.0,1,2,5.24692510473278,12.451741405262142,0.42138082810773875
3,0,4,4,89,week2_percentage,0.198347107,1,9,32.16014973,24.0,1,3,0.27538023381132876,12.451741405262142,0.022115800902751826
4,0,5,3,55,week2_percentage,0.173553719,1,10,65.86310178,21.0,1,4,1.7210770271065368,12.451741405262142,0.13821978557787945
5,0,2,6,108,week2_percentage,0.157024793,1,11,17.88594412,19.0,1,5,0.905329867415726,12.451741405262142,0.07270708874769363
0,0,6,2,56,week3_percentage,0.226415094,2,12,50.16197838,24.0,1,0,0.21899532004192065,5.762574659601465,0.03800303388295991
1,0,6,1,66,week3_percentage,0.198113208,2,13,60.57473609,21.0,1,1,0.9450669966695918,5.762574659601465,0.1640008247172891
2,0,3,5,32,week3_percentage,0.122641509,2,14,18.5145972,13.0,1,2,3.7592513998514288,5.762574659601465,0.6523562160861297
3,0,4,4,89,week3_percentage,0.245283019,2,15,41.20649407,26.0,1,3,0.07003482735578928,5.762574659601465,0.012153391755037641
4,0,5,3,55,week3_percentage,0.20754717,2,16,73.97057847,22.0,1,4,0.7692261156827342,5.762574659601465,0.13348653355858356
0,0,6,2,56,week4_percentage,0.22826087,3,17,52.28199329,21.0,1,0,0.4330828391814553,1.5009520425000715,0.2885387586801826
1,0,6,1,66,week4_percentage,0.282608696,3,18,104.9965481,26.0,1,1,0.0676168124738363,1.5009520425000715,0.04504928242824459
3,0,4,4,89,week4_percentage,0.27173913,3,19,32.78484735,25.0,1,3,0.036753867807894906,1.5009520425000715,0.024487036738812498
4,0,5,3,55,week4_percentage,0.217391304,3,20,74.4882769,20.0,1,4,0.963498523036885,1.5009520425000715,0.6419249221527603
0,0,6,2,56,week5_percentage,0.369863014,4,21,130.4466824,27.0,1,0,0.0060039553694558375,0.19854304241126997,0.03024006933982106
1,0,6,1,66,week5_percentage,0.321917808,4,22,126.5832024,23.5,1,1,0.06560071592784152,0.19854304241126997,0.33041055043346007
4,0,5,3,55,week5_percentage,0.308219178,4,23,130.4353795,22.5,1,4,0.12693837111397263,0.19854304241126997,0.6393493802267189
0,0,6,2,56,week6_percentage,0.495412844,5,24,336.3198912,27.0,1,0,0.0005218741851169662,0.0010172873160520148,0.5130056935559809
1,0,6,1,66,week6_percentage,0.504587156,5,25,526.382563,27.5,1,1,0.0004954131309350485,0.0010172873160520148,0.486994306444019
6,1,2,9,103,week1_percentage,0.117948718,0,26,21.32536055,23.0,2,0,1.4149249440589848,33.61192685857924,0.04209591880918406
7,1,5,6,105,week1_percentage,0.102564103,0,27,21.80944693,20.0,2,1,2.8040397951229665,33.61192685857924,0.08342395266182881
8,1,6,5,34,week1_percentage,0.092307692,0,28,18.55941598,18.0,2,2,3.5234435909191086,33.61192685857924,0.1048271824981605
9,1,7,4,73,week1_percentage,0.097435897,0,29,22.76751569,19.0,2,3,3.5753130065742478,33.61192685857924,0.10637036732875287
10,1,8,3,100,week1_percentage,0.112820513,0,30,34.33993,22.0,2,4,2.8698435928684316,33.61192685857924,0.08538170408805117
11,1,8,2,49,week1_percentage,0.107692308,0,31,35.8866893,21.0,2,5,3.7390366093217255,33.61192685857924,0.1112413645624532
12,1,3,8,35,week1_percentage,0.117948718,0,32,18.42863744,23.0,2,6,1.22272909467293,33.61192685857924,0.036377833969992585
13,1,4,7,76,week1_percentage,0.061538462,0,33,20.42809146,12.0,2,7,9.761532845773297,33.61192685857924,0.29041872210553515
14,1,8,1,27,week1_percentage,0.123076923,0,34,39.30638753,24.0,2,8,2.0493873324000185,33.61192685857924,0.06097202760861432
15,1,1,10,67,week1_percentage,0.066666667,0,35,6.308251773,13.0,2,9,2.6516760468675287,33.61192685857924,0.07889092636742735
6,1,2,9,103,week2_percentage,0.085,1,36,9.714591499,17.0,2,0,2.2901768312321953,19.633013326477716,0.11664927808833038
7,1,5,6,105,week2_percentage,0.11,1,37,21.03036799,22.0,2,1,1.8700543374369036,19.633013326477716,0.09525050008064162
8,1,6,5,34,week2_percentage,0.11,1,38,19.41066481,22.0,2,2,1.7260277108671922,19.633013326477716,0.08791455912370902
9,1,7,4,73,week2_percentage,0.1,1,39,21.2125535,20.0,2,3,2.8708069360943,19.633013326477716,0.14622344967405676
10,1,8,3,100,week2_percentage,0.145,1,40,38.73567963,29.0,2,4,0.577966788999179,19.633013326477716,0.029438516614243536
11,1,8,2,49,week2_percentage,0.115,1,41,33.57630542,23.0,2,5,2.3840974436171902,19.633013326477716,0.12143308843996553
12,1,3,8,35,week2_percentage,0.12,1,42,17.80810937,24.0,2,6,0.9996539960092646,19.633013326477716,0.05091699268909979
13,1,4,7,76,week2_percentage,0.08,1,43,21.27480191,16.0,2,7,5.9151884907328585,19.633013326477716,0.30128785593780677
14,1,8,1,27,week2_percentage,0.135,1,44,38.24605169,27.0,2,8,0.9990407914886318,19.633013326477716,0.05088575935214658
7,1,5,6,105,week3_percentage,0.142857143,2,45,24.31935059,26.0,2,1,0.5927317376919153,15.378656954863594,0.038542490376863525
8,1,6,5,34,week3_percentage,0.120879121,2,46,19.51324757,22.0,2,2,1.3658172063566254,15.378656954863594,0.08881251531686435
9,1,7,4,73,week3_percentage,0.137362637,2,47,24.52477422,25.0,2,3,0.7910594739720568,15.378656954863594,0.05143878794447518
10,1,8,3,100,week3_percentage,0.148351648,2,48,36.02546084,27.0,2,4,0.6562138436604813,15.378656954863594,0.042670426005760514
11,1,8,2,49,week3_percentage,0.104395604,2,49,28.31727132,19.0,2,5,3.89601967760881,15.378656954863594,0.25333939686954715
12,1,3,8,35,week3_percentage,0.120879121,2,50,10.447068,22.0,2,6,0.7312358016876068,15.378656954863594,0.04754874263947666
13,1,4,7,76,week3_percentage,0.076923077,2,51,19.51153761,14.0,2,7,6.646450048967478,15.378656954863594,0.4321866381748959
14,1,8,1,27,week3_percentage,0.148351648,2,52,38.38146756,27.0,2,8,0.6991291649186206,15.378656954863594,0.045461002672116745
7,1,5,6,105,week4_percentage,0.158227848,3,53,24.85345394,25.0,2,1,0.47582769976342976,10.985893564425933,0.04331260784322865
8,1,6,5,34,week4_percentage,0.132911392,3,54,19.83511151,21.0,2,2,1.2169094948632566,10.985893564425933,0.11077018794391043
9,1,7,4,73,week4_percentage,0.164556962,3,55,27.35976109,26.0,2,3,0.37930765393887356,10.985893564425933,0.03452679126321886
10,1,8,3,100,week4_percentage,0.164556962,3,56,36.86686913,26.0,2,4,0.5111113942761325,10.985893564425933,0.046524335164796454
11,1,8,2,49,week4_percentage,0.151898734,3,57,35.78699914,24.0,2,5,0.9342745426526143,10.985893564425933,0.08504310888992622
13,1,4,7,76,week4_percentage,0.050632911,3,58,10.75371217,8.0,2,7,7.172022730698375,10.985893564425933,0.6528392696177691
14,1,8,1,27,week4_percentage,0.17721519,3,59,42.3562098,28.0,2,8,0.29644004823325126,10.985893564425933,0.0269836992771504
7,1,5,6,105,week5_percentage,0.145695364,4,60,14.21228906,22.0,2,1,0.5762630774352149,2.9478148034350213,0.19548822292489632
8,1,6,5,34,week5_percentage,0.158940397,4,61,23.03474691,24.0,2,2,0.5078517438231532,2.9478148034350213,0.17228074953398198
9,1,7,4,73,week5_percentage,0.165562914,4,62,26.88486513,25.0,2,3,0.4284807970491284,2.9478148034350213,0.14535539903993613
10,1,8,3,100,week5_percentage,0.198675497,4,63,43.08844025,30.0,2,4,0.11113493820055431,2.9478148034350213,0.037700787061334826
11,1,8,2,49,week5_percentage,0.152317881,4,64,33.59837386,23.0,2,5,1.0112289827863346,2.9478148034350213,0.3430435933790591
14,1,8,1,27,week5_percentage,0.178807947,4,65,39.08739196,27.0,2,8,0.3128552641406358,2.9478148034350213,0.10613124806079158
8,1,6,5,34,week6_percentage,0.172932331,5,66,17.4428616,23.0,2,2,0.326765292606617,1.2761010969551534,0.25606536455951395
9,1,7,4,73,week6_percentage,0.203007519,5,67,33.04523419,27.0,2,3,0.13761082904836697,1.2761010969551534,0.10783693343475206
10,1,8,3,100,week6_percentage,0.22556391,5,68,48.55150697,30.0,2,4,0.055894345029711044,1.2761010969551534,0.043800875309235286
11,1,8,2,49,week6_percentage,0.172932331,5,69,37.25301269,23.0,2,5,0.6978781275273013,1.2761010969551534,0.5468831029081288
14,1,8,1,27,week6_percentage,0.22556391,5,70,50.33928458,30.0,2,8,0.05795250274315703,1.2761010969551534,0.04541372378836979
9,1,7,4,73,week7_percentage,0.259803922,6,71,31.0881131,26.5,2,3,0.031809878196856496,0.8700631416141856,0.036560424957022296
10,1,8,3,100,week7_percentage,0.269607843,6,72,64.611773,27.5,2,4,0.038936660465952955,0.8700631416141856,0.0447515342320049
11,1,8,2,49,week7_percentage,0.200980392,6,73,46.71517294,20.5,2,5,0.7587909090099497,0.8700631416141856,0.8721101638694888
14,1,8,1,27,week7_percentage,0.269607843,6,74,67.24862652,27.5,2,8,0.04052569394142643,0.8700631416141856,0.046577876941483916
10,1,8,3,100,week8_percentage,0.339920719,7,75,99.71382548,28.6665,2,4,0.005845793401602254,0.03161734835979792,0.1848919566270553
11,1,8,2,49,week8_percentage,0.316206368,7,76,94.60706136,26.666600000000003,2,5,0.020600980335041104,0.03161734835979792,0.6515720452141286
14,1,8,1,27,week8_percentage,0.343872913,7,77,110.772024,28.9998,2,8,0.005170574623154557,0.03161734835979792,0.16353599815881603
16,2,8,7,64,week1_percentage,0.076142132,0,78,20.56500197,15.0,28,0,6.563071550115089,81.02994184351103,0.08099563446299904
17,2,10,5,42,week1_percentage,0.106598985,0,79,27.10289905,21.0,28,1,2.889437981602601,81.02994184351103,0.035658892452160765
18,2,11,2,65,week1_percentage,0.081218274,0,80,31.84168093,16.0,28,2,8.68227654114931,81.02994184351103,0.1071489913927983
19,2,2,11,90,week1_percentage,0.076142132,0,81,13.4533232,15.0,28,3,4.293465319246128,81.02994184351103,0.05298615822207891
20,2,4,10,69,week1_percentage,0.055837563,0,82,14.92425555,11.0,28,4,8.075013860983104,81.02994184351103,0.0996546915531294
21,2,6,9,93,week1_percentage,0.091370558,0,83,17.4378197,18.0,28,5,3.3668289920046304,81.02994184351103,0.04155043080873506
22,2,9,6,96,week1_percentage,0.060913706,0,84,26.78677761,12.0,28,6,12.896344782302076,81.02994184351103,0.15915530097760808
23,2,2,12,75,week1_percentage,0.086294416,0,85,10.6182006,17.0,28,7,2.4487176868833354,81.02994184351103,0.03021991169156234
24,2,11,4,70,week1_percentage,0.096446701,0,86,45.23863545,19.0,28,8,7.238863140869588,81.02994184351103,0.08933565761221492
25,2,11,3,3,week1_percentage,0.081218274,0,87,36.38886524,16.0,28,9,9.922158058390405,81.02994184351103,0.12245051437347149
26,2,7,8,63,week1_percentage,0.086294416,0,88,24.25831691,17.0,28,10,5.594334851004613,81.02994184351103,0.0690403414309326
27,2,11,1,36,week1_percentage,0.101522843,0,89,69.01079644,20.0,28,11,9.059429078960141,81.02994184351103,0.11180347502230907
16,2,8,7,64,week2_percentage,0.095890411,1,90,22.39899711,21.0,28,0,2.990132063983967,57.93595646280829,0.05161098990233238
17,2,10,5,42,week2_percentage,0.091324201,1,91,22.38706022,20.0,28,1,3.6038369711613534,57.93595646280829,0.062203805567183815
18,2,11,2,65,week2_percentage,0.091324201,1,92,29.95872594,20.0,28,2,4.822712901580906,57.93595646280829,0.08324213832004004
19,2,2,11,90,week2_percentage,0.068493151,1,93,8.260744564,15.0,28,3,2.956829145100387,57.93595646280829,0.051036166926811836
20,2,4,10,69,week2_percentage,0.054794521,1,94,14.72602815,12.0,28,4,7.629957678287331,57.93595646280829,0.13169641349039168
21,2,6,9,93,week2_percentage,0.082191781,1,95,15.70832971,18.0,28,5,3.5777677357666526,57.93595646280829,0.06175383913897035
22,2,9,6,96,week2_percentage,0.073059361,1,96,26.05555595,16.0,28,6,8.095280598279084,57.93595646280829,0.13972809102540337
23,2,2,12,75,week2_percentage,0.068493151,1,97,7.1041938,15.0,28,7,2.542856411736093,57.93595646280829,0.04389081611811255
24,2,11,4,70,week2_percentage,0.086757991,1,98,36.62778373,19.0,28,8,7.045613620705538,57.93595646280829,0.12161037895746894
25,2,11,3,3,week2_percentage,0.091324201,1,99,35.44527142,20.0,28,9,5.7059291546518605,57.93595646280829,0.09848683793310212
26,2,7,8,63,week2_percentage,0.086757991,1,100,22.32364635,19.0,28,10,4.294111485062366,57.93595646280829,0.07411824620206194
27,2,11,1,36,week2_percentage,0.109589041,1,101,64.8122676,24.0,28,11,4.67092869649275,57.93595646280829,0.08062227641812093
16,2,8,7,64,week3_percentage,0.121212121,2,102,24.04016353,24.0,28,0,1.3107965528810355,39.587873703604764,0.03311106230900393
17,2,10,5,42,week3_percentage,0.116161616,2,103,23.49951875,23.0,28,1,1.6246018562402664,39.587873703604764,0.04103786599916162
18,2,11,2,65,week3_percentage,0.101010101,2,104,28.12559794,20.0,28,2,3.7302606120133994,39.587873703604764,0.09422735456675291
20,2,4,10,69,week3_percentage,0.060606061,2,105,12.54351857,12.0,28,4,6.061342750740712,39.587873703604764,0.1531110964969251
21,2,6,9,93,week3_percentage,0.116161616,2,106,16.66389586,23.0,28,5,1.1520319387966398,39.587873703604764,0.029100626808651733
22,2,9,6,96,week3_percentage,0.075757576,2,107,23.85727567,15.0,28,6,7.657806540662799,39.587873703604764,0.1934381876126249
24,2,11,4,70,week3_percentage,0.101010101,2,108,37.0525947,20.0,28,8,4.914236308047943,39.587873703604764,0.12413488900265099
25,2,11,3,3,week3_percentage,0.121212121,2,109,39.29101405,24.0,28,9,2.142353387557856,39.587873703604764,0.05411640452320578
26,2,7,8,63,week3_percentage,0.080808081,2,110,18.44574879,16.0,28,10,5.06272375538288,39.587873703604764,0.12788572059433145
27,2,11,1,36,week3_percentage,0.106060606,2,111,55.01395871,21.0,28,11,5.931720001281233,39.587873703604764,0.14983679208669162
16,2,8,7,64,week4_percentage,0.092198582,3,112,17.96502843,26.0,28,0,1.6343805614846538,15.327480881217188,0.10663073561471402
17,2,10,5,42,week4_percentage,0.09929078,3,113,19.55886092,28.0,28,1,1.213230440667624,15.327480881217188,0.07915393599703377
18,2,11,2,65,week4_percentage,0.113475177,3,114,27.86890022,32.0,28,2,0.738086476546546,15.327480881217188,0.048154454229398
20,2,4,10,69,week4_percentage,0.070921986,3,115,8.642625828,20.0,28,4,2.092305842876802,15.327480881217188,0.13650683103710698
21,2,6,9,93,week4_percentage,0.109929078,3,116,15.78649894,31.0,28,5,0.5227529273804337,15.327480881217188,0.03410559970236419
22,2,9,6,96,week4_percentage,0.074468085,3,117,21.93951906,21.0,28,6,4.5926617084775225,15.327480881217188,0.2996357812525818
24,2,11,4,70,week4_percentage,0.113475177,3,118,37.12713549,32.0,28,8,0.9832837464613923,15.327480881217188,0.0641516863783103
25,2,11,3,3,week4_percentage,0.113475177,3,119,33.42494051,32.0,28,9,0.8852339480586726,15.327480881217188,0.05775469269340066
26,2,7,8,63,week4_percentage,0.09929078,3,120,20.21649625,28.0,28,10,1.2540233684601947,15.327480881217188,0.08181536014811913
27,2,11,1,36,week4_percentage,0.113475177,3,121,53.29668426,32.0,28,11,1.411521860803345,15.327480881217188,0.09209092294697112
16,2,8,7,64,week5_percentage,0.111627907,4,122,18.73252058,24.0,28,0,1.2855560055151753,17.097312129528785,0.07519053262734147
17,2,10,5,42,week5_percentage,0.120930233,4,123,20.20579215,26.0,28,1,0.8709098975626085,17.097312129528785,0.05093841014099866
18,2,11,2,65,week5_percentage,0.120930233,4,124,26.40374651,26.0,28,2,1.138054078631764,17.097312129528785,0.06656333288003966
21,2,6,9,93,week5_percentage,0.111627907,4,125,13.71563085,24.0,28,5,0.9412620972893501,17.097312129528785,0.05505322065587698
22,2,9,6,96,week5_percentage,0.088372093,4,126,22.07767833,19.0,28,6,4.11853410701898,17.097312129528785,0.24088781182779342
24,2,11,4,70,week5_percentage,0.106976744,4,127,32.24800135,23.0,28,8,2.753825279035618,17.097312129528785,0.16106773147572617
25,2,11,3,3,week5_percentage,0.125581395,4,128,32.7834551,27.0,28,9,1.104316184049012,17.097312129528785,0.06459004641681347
26,2,7,8,63,week5_percentage,0.097674419,4,129,17.48371022,21.0,28,10,2.2481480847325437,17.097312129528785,0.13149131674620157
27,2,11,1,36,week5_percentage,0.11627907,4,130,48.25537936,25.0,28,11,2.6367063956937318,17.097312129528785,0.15421759722920853
16,2,8,7,64,week6_percentage,0.118421053,5,131,18.70993484,27.0,28,0,0.7646678110762624,13.976761153175417,0.05470994336213118
17,2,10,5,42,week6_percentage,0.118421053,5,132,19.15324983,27.0,28,1,0.7827859235079461,13.976761153175417,0.056006246005720926
18,2,11,2,65,week6_percentage,0.114035088,5,133,23.44667711,26.0,28,2,1.209027715618642,13.976761153175417,0.08650270991745178
21,2,6,9,93,week6_percentage,0.118421053,5,134,9.083196448,27.0,28,5,0.3712267308712788,13.976761153175417,0.026560282944159692
22,2,9,6,96,week6_percentage,0.092105263,5,135,21.15991862,21.0,28,6,3.05841937394547,13.976761153175417,0.21882175279575553
24,2,11,4,70,week6_percentage,0.114035088,5,136,31.11932199,26.0,28,8,1.6046675868250857,13.976761153175417,0.1148096879698425
25,2,11,3,3,week6_percentage,0.109649123,5,137,27.32434814,25.0,28,9,1.7621772228625716,13.976761153175417,0.12607908252493946
26,2,7,8,63,week6_percentage,0.109649123,5,138,18.75031418,25.0,28,10,1.2092283556124057,13.976761153175417,0.0865170651741214
27,2,11,1,36,week6_percentage,0.105263158,5,139,40.20560511,24.0,28,11,3.214560432855755,13.976761153175417,0.22999322930587754
16,2,8,7,64,week7_percentage,0.118811881,6,140,18.22903651,24.0,28,0,1.0528813949168312,8.866940450732859,0.11874235546826187
17,2,10,5,42,week7_percentage,0.133663366,6,141,20.16864034,27.0,28,1,0.5461935153454242,8.866940450732859,0.06159887036348382
18,2,11,2,65,week7_percentage,0.126237624,6,142,24.6366116,25.5,28,2,0.9852835620117107,8.866940450732859,0.11111877512725107
22,2,9,6,96,week7_percentage,0.103960396,6,143,21.89330441,21.0,28,6,2.4670239345199994,8.866940450732859,0.27822719101672755
24,2,11,4,70,week7_percentage,0.133663366,6,144,33.2915532,27.0,28,8,0.9015793909296915,8.866940450732859,0.1016787465686854
25,2,11,3,3,week7_percentage,0.133663366,6,145,29.44165826,27.0,28,9,0.7973191326504682,8.866940450732859,0.08992043389493715
26,2,7,8,63,week7_percentage,0.121287129,6,146,10.86103066,24.5,28,10,0.5563523589939955,8.866940450732859,0.06274456923278565
27,2,11,1,36,week7_percentage,0.128712871,6,147,44.31917139,26.0,28,11,1.5603071613647383,8.866940450732859,0.17596905832786752
16,2,8,7,64,week8_percentage,0.134714548,7,148,12.01298573,25.9998,28,0,0.3618364024529518,5.5222631997735565,0.06552320839538925
17,2,10,5,42,week8_percentage,0.16580276,7,149,23.34849931,31.9998,28,1,0.11588899950953453,5.5222631997735565,0.020985779800261353
18,2,11,2,65,week8_percentage,0.155440023,7,150,27.49067398,29.9998,28,2,0.2594158820592265,5.5222631997735565,0.04697637049785385
22,2,9,6,96,week8_percentage,0.103627373,7,151,21.01682471,20.0,28,6,2.6452771266944146,5.5222631997735565,0.4790204724039386
24,2,11,4,70,week8_percentage,0.124352847,7,152,29.4751862,24.0,28,8,1.4904534993394771,5.5222631997735565,0.2698990333167376
25,2,11,3,3,week8_percentage,0.155441059,7,153,32.1530134,30.0,28,9,0.30339320930209734,5.5222631997735565,0.05494001251416958
27,2,11,1,36,week8_percentage,0.160621391,7,154,50.29516478,30.9998,28,11,0.34599808041585456,5.5222631997735565,0.06265512307164975
17,2,10,5,42,week9_percentage,0.172661871,8,155,24.38496617,36.0,28,1,0.048710505466120345,1.0656246726355936,0.04571075230985914
18,2,11,2,65,week9_percentage,0.177458034,8,156,30.11151745,37.0,28,2,0.042381661593187014,1.0656246726355936,0.03977165946089169
22,2,9,6,96,week9_percentage,0.119904077,8,157,14.594451,25.0,28,6,0.7283594977925291,1.0656246726355936,0.6835047240329828
24,2,11,4,70,week9_percentage,0.167865707,8,158,38.53212039,35.0,28,8,0.10819635987525092,1.0656246726355936,0.10153327213009293
25,2,11,3,3,week9_percentage,0.191846523,8,159,39.64101932,40.0,28,9,0.018425927620168984,1.0656246726355936,0.017291198386573024
27,2,11,1,36,week9_percentage,0.170263789,8,160,50.41808547,35.5,28,11,0.11955072028833724,1.0656246726355936,0.11218839367960037
17,2,10,5,42,week10_percentage,0.185454545,9,161,18.47447539,25.5,28,1,0.16321273168181902,0.8465892772199357,0.1927885647427329
18,2,11,2,65,week10_percentage,0.207272727,9,162,35.37664607,28.5,28,2,0.09621011006468004,0.8465892772199357,0.11364437591345204
24,2,11,4,70,week10_percentage,0.196363636,9,163,45.11407551,27.0,28,8,0.22478208018541787,0.8465892772199357,0.2655149152415046
25,2,11,3,3,week10_percentage,0.214545455,9,164,44.06691508,29.5,28,9,0.07860015193370337,0.8465892772199357,0.09284331144827837
27,2,11,1,36,week10_percentage,0.196363636,9,165,56.95588353,27.0,28,11,0.2837842033543154,0.8465892772199357,0.3352088326540321
18,2,11,2,65,week11_percentage,0.252136752,10,166,53.21529575,29.5,28,2,0.0313140526768901,0.15559615766960064,0.20125209481961415
24,2,11,4,70,week11_percentage,0.243589744,10,167,35.44354079,28.5,28,8,0.03423979640543051,0.15559615766960064,0.22005553940564987
25,2,11,3,3,week11_percentage,0.256410256,10,168,61.84903378,30.0,28,9,0.02822319268901993,0.15559615766960064,0.18138746555008275
27,2,11,1,36,week11_percentage,0.247863248,10,169,81.81753201,29.0,28,11,0.0618191158982601,0.15559615766960064,0.39730490022465326
28,3,4,13,8,week1_percentage,0.069230769,0,170,14.7814422,18.0,29,0,4.251273761272922,118.87373439463879,0.03576293605078041
29,3,5,12,50,week1_percentage,0.069230769,0,171,15.16306283,18.0,29,1,4.361031236161228,118.87373439463879,0.03668624745718353
30,3,8,8,20,week1_percentage,0.05,0,172,19.18016611,13.0,29,2,10.012924715300263,118.87373439463879,0.084231598900218
31,3,10,5,99,week1_percentage,0.080769231,0,173,41.12309758,21.0,29,3,7.541462264965947,118.87373439463879,0.06344094684473939
32,3,11,4,61,week1_percentage,0.080769231,0,174,24.71200697,21.0,29,4,4.531873302911596,118.87373439463879,0.03812341999677251
33,3,2,15,17,week1_percentage,0.046153846,0,175,8.895179257,12.0,29,5,5.112371167152106,118.87373439463879,0.04300673477775991
34,3,6,11,110,week1_percentage,0.065384615,0,176,18.07485478,17.0,29,6,5.94757324698278,118.87373439463879,0.05003269458363223
35,3,10,6,57,week1_percentage,0.069230769,0,177,25.40926706,18.0,29,7,7.307930368618184,118.87373439463879,0.061476409451033213
36,3,11,2,86,week1_percentage,0.076923077,0,178,99.69515855,20.0,29,8,21.40566433613009,118.87373439463879,0.18007059713516907
37,3,9,7,0,week1_percentage,0.069230769,0,179,19.97989869,18.0,29,9,5.746395913498091,118.87373439463879,0.048340333066521836
38,3,11,3,85,week1_percentage,0.061538462,0,180,45.46421036,16.0,29,10,16.984650746626613,118.87373439463879,0.14287976089184443
39,3,11,1,62,week1_percentage,0.076923077,0,181,46.25695663,20.0,29,11,9.931885371706521,118.87373439463879,0.08354987266349773
40,3,3,14,14,week1_percentage,0.042307692,0,182,10.13135968,11.0,29,12,6.361415530989733,118.87373439463879,0.053514054752171
41,3,7,10,84,week1_percentage,0.073076923,0,183,17.57455053,19.0,29,13,4.384126157239463,118.87373439463879,0.03688052856726934
42,3,7,9,46,week1_percentage,0.069230769,0,184,17.3609264,18.0,29,14,4.993156275083251,118.87373439463879,0.042003864861407454
28,3,4,13,8,week2_percentage,0.065934066,1,185,13.22518638,18.0,29,0,4.0362251350021765,101.33647265286716,0.03982993515896745
29,3,5,12,50,week2_percentage,0.073260073,1,186,14.56007662,20.0,29,1,3.363835514535757,101.33647265286716,0.03319471683269195
30,3,8,8,20,week2_percentage,0.065934066,1,187,19.54029734,18.0,29,2,5.963548414591354,101.33647265286716,0.05884898357395732
31,3,10,5,99,week2_percentage,0.054945055,1,188,30.95196579,15.0,29,3,13.575418405837622,101.33647265286716,0.13396379457908364
32,3,11,4,61,week2_percentage,0.076923077,1,189,21.93103668,21.0,29,4,4.360201258675745,101.33647265286716,0.043026968913865975
33,3,2,15,17,week2_percentage,0.054945055,1,190,6.097615328,15.0,29,5,2.674391666011492,101.33647265286716,0.02639120541695532
34,3,6,11,110,week2_percentage,0.065934066,1,191,16.54460783,18.0,29,6,5.0492870235224485,101.33647265286716,0.04982694671857208
35,3,10,6,57,week2_percentage,0.065934066,1,192,22.6641034,18.0,29,7,6.916909991053623,101.33647265286716,0.06825686556850881
36,3,11,2,86,week2_percentage,0.076923077,1,193,85.24807047,21.0,29,8,16.94852594460084,101.33647265286716,0.16725000881626115
37,3,9,7,0,week2_percentage,0.06959707,1,194,17.89523466,19.0,29,9,4.769255090979756,101.33647265286716,0.04706355931015147
